year,fullname,count
1970,Mid-year population, age 0 years, by sex,31000.0
1964,Mid-year population, age 0 years, by sex,40000.0
1965,Mid-year population, age 0 years, by sex,40700.0
1966,Mid-year population, age 0 years, by sex,42000.0
1967,Mid-year population, age 0 years, by sex,41600.0
1968,Mid-year population, age 0 years, by sex,38400.0
1969,Mid-year population, age 0 years, by sex,35500.0
1970,Mid-year population, age 0 years, by sex,34100.0
1971,Mid-year population, age 0 years, by sex,34100.0
1972,Mid-year population, age 0 years, by sex,36100.0
1973,Mid-year population, age 0 years, by sex,36500.0
1974,Mid-year population, age 0 years, by sex,34300.0
1975,Mid-year population, age 0 years, by sex,34100.0
1976,Mid-year population, age 0 years, by sex,33200.0
1977,Mid-year population, age 0 years, by sex,30800.0
1978,Mid-year population, age 0 years, by sex,30100.0
1979,Mid-year population, age 0 years, by sex,29500.0
1980,Mid-year population, age 0 years, by sex,28400.0
1981,Mid-year population, age 0 years, by sex,27000.0
1982,Mid-year population, age 0 years, by sex,25800.0
1983,Mid-year population, age 0 years, by sex,25300.0
1984,Mid-year population, age 0 years, by sex,25100.0
1985,Mid-year population, age 0 years, by sex,25800.0
1986,Mid-year population, age 0 years, by sex,26700.0
1987,Mid-year population, age 0 years, by sex,27100.0
1988,Mid-year population, age 0 years, by sex,27800.0
1989,Mid-year population, age 0 years, by sex,29200.0
1990,Mid-year population, age 0 years, by sex,30300.0
1991,Mid-year population, age 0 years, by sex,31300.0
1992,Mid-year population, age 0 years, by sex,31900.0
1993,Mid-year population, age 0 years, by sex,33000.0
1994,Mid-year population, age 0 years, by sex,33100.0
1995,Mid-year population, age 0 years, by sex,34300.0
1996,Mid-year population, age 0 years, by sex,33100.0
1997,Mid-year population, age 0 years, by sex,33300.0
1998,Mid-year population, age 0 years, by sex,32100.0
1999,Mid-year population, age 0 years, by sex,32572.0
2000,Mid-year population, age 0 years, by sex,32239.0
2001,Mid-year population, age 0 years, by sex,32244.0
2002,Mid-year population, age 0 years, by sex,31482.0
2003,Mid-year population, age 0 years, by sex,30855.0
2004,Mid-year population, age 0 years, by sex,31651.0
2005,Mid-year population, age 0 years, by sex,31423.0
2006,Mid-year population, age 0 years, by sex,31444.0
2007,Mid-year population, age 0 years, by sex,31298.0
2008,Mid-year population, age 0 years, by sex,31797.0
2009,Mid-year population, age 0 years, by sex,31323.0
2010,Mid-year population, age 0 years, by sex,30961.0
2011,Mid-year population, age 0 years, by sex,30177.0
2012,Mid-year population, age 0 years, by sex,28513.0
2013,Mid-year population, age 0 years, by sex,28072.0
2014,Mid-year population, age 0 years, by sex,27285.0
2015,Mid-year population, age 0 years, by sex,27854.0
2016,Mid-year population, age 0 years, by sex,29463.0
2017,Mid-year population, age 0 years, by sex,30124.0
2018,Mid-year population, age 0 years, by sex,30408.0
1950,Mid-year population, age 0 years, by sex,256000.0
1951,Mid-year population, age 0 years, by sex,257000.0
1952,Mid-year population, age 0 years, by sex,270000.0
1953,Mid-year population, age 0 years, by sex,270000.0
1954,Mid-year population, age 0 years, by sex,267000.0
1955,Mid-year population, age 0 years, by sex,275000.0
1956,Mid-year population, age 0 years, by sex,281000.0
1957,Mid-year population, age 0 years, by sex,299000.0
1958,Mid-year population, age 0 years, by sex,303000.0
1959,Mid-year population, age 0 years, by sex,303000.0
1960,Mid-year population, age 0 years, by sex,308000.0
1961,Mid-year population, age 0 years, by sex,303000.0
1962,Mid-year population, age 0 years, by sex,307000.0
1963,Mid-year population, age 0 years, by sex,321000.0
1964,Mid-year population, age 0 years, by sex,333000.0
1965,Mid-year population, age 0 years, by sex,317000.0
1966,Mid-year population, age 0 years, by sex,314000.0
1967,Mid-year population, age 0 years, by sex,319700.0
1968,Mid-year population, age 0 years, by sex,314000.0
1969,Mid-year population, age 0 years, by sex,314500.0
1970,Mid-year population, age 0 years, by sex,314200.0
1971,Mid-year population, age 0 years, by sex,316000.0
1972,Mid-year population, age 0 years, by sex,320400.0
1973,Mid-year population, age 0 years, by sex,319600.0
1974,Mid-year population, age 0 years, by sex,323900.0
1975,Mid-year population, age 0 years, by sex,320900.0
1976,Mid-year population, age 0 years, by sex,322800.0
1977,Mid-year population, age 0 years, by sex,316900.0
1978,Mid-year population, age 0 years, by sex,306500.0
1979,Mid-year population, age 0 years, by sex,299800.0
1980,Mid-year population, age 0 years, by sex,289900.0
1981,Mid-year population, age 0 years, by sex,280500.0
1982,Mid-year population, age 0 years, by sex,271400.0
1983,Mid-year population, age 0 years, by sex,237400.0
1984,Mid-year population, age 0 years, by sex,230400.0
1985,Mid-year population, age 0 years, by sex,231000.0
1986,Mid-year population, age 0 years, by sex,212300.0
1987,Mid-year population, age 0 years, by sex,205600.0
1988,Mid-year population, age 0 years, by sex,200200.0
1989,Mid-year population, age 0 years, by sex,197300.0
1990,Mid-year population, age 0 years, by sex,196200.0
1991,Mid-year population, age 0 years, by sex,198300.0
1992,Mid-year population, age 0 years, by sex,188900.0
1993,Mid-year population, age 0 years, by sex,188300.0
1994,Mid-year population, age 0 years, by sex,183200.0
1995,Mid-year population, age 0 years, by sex,184000.0
1996,Mid-year population, age 0 years, by sex,186600.0
1997,Mid-year population, age 0 years, by sex,185200.0
1998,Mid-year population, age 0 years, by sex,184900.0
1999,Mid-year population, age 0 years, by sex,180685.0
2000,Mid-year population, age 0 years, by sex,187211.0
2001,Mid-year population, age 0 years, by sex,196107.0
2002,Mid-year population, age 0 years, by sex,201425.0
2003,Mid-year population, age 0 years, by sex,208134.0
2004,Mid-year population, age 0 years, by sex,216088.0
2005,Mid-year population, age 0 years, by sex,220433.0
2006,Mid-year population, age 0 years, by sex,224101.0
2007,Mid-year population, age 0 years, by sex,231451.0
2008,Mid-year population, age 0 years, by sex,239704.0
2009,Mid-year population, age 0 years, by sex,244398.0
2010,Mid-year population, age 0 years, by sex,245129.0
2011,Mid-year population, age 0 years, by sex,236243.0
2012,Mid-year population, age 0 years, by sex,223817.0
2013,Mid-year population, age 0 years, by sex,210279.0
2014,Mid-year population, age 0 years, by sex,203676.0
2015,Mid-year population, age 0 years, by sex,202290.0
2017,Mid-year population, age 0 years, by sex,192586.0
2018,Mid-year population, age 0 years, by sex,183455.0
2019,Mid-year population, age 0 years, by sex,176096.0
2020,Mid-year population, age 0 years, by sex,170691.0
1981,Mid-year population, age 0 years, by sex,11000.0
1982,Mid-year population, age 0 years, by sex,11200.0
1983,Mid-year population, age 0 years, by sex,11400.0
1984,Mid-year population, age 0 years, by sex,11547.0
1985,Mid-year population, age 0 years, by sex,11700.0
1986,Mid-year population, age 0 years, by sex,11700.0
1987,Mid-year population, age 0 years, by sex,11800.0
1988,Mid-year population, age 0 years, by sex,12200.0
1989,Mid-year population, age 0 years, by sex,11913.0
1990,Mid-year population, age 0 years, by sex,11163.0
1991,Mid-year population, age 0 years, by sex,9957.0
1992,Mid-year population, age 0 years, by sex,8885.0
1993,Mid-year population, age 0 years, by sex,7831.0
1994,Mid-year population, age 0 years, by sex,6936.0
1995,Mid-year population, age 0 years, by sex,6593.0
1996,Mid-year population, age 0 years, by sex,6375.0
1997,Mid-year population, age 0 years, by sex,6126.0
1998,Mid-year population, age 0 years, by sex,5846.0
1999,Mid-year population, age 0 years, by sex,5825.0
2000,Mid-year population, age 0 years, by sex,6125.0
2001,Mid-year population, age 0 years, by sex,6220.0
2002,Mid-year population, age 0 years, by sex,6325.0
2003,Mid-year population, age 0 years, by sex,6475.0
2004,Mid-year population, age 0 years, by sex,6645.0
2005,Mid-year population, age 0 years, by sex,6845.0
2006,Mid-year population, age 0 years, by sex,6995.0
2007,Mid-year population, age 0 years, by sex,7385.0
2008,Mid-year population, age 0 years, by sex,7695.0
2009,Mid-year population, age 0 years, by sex,7750.0
2010,Mid-year population, age 0 years, by sex,7730.0
2011,Mid-year population, age 0 years, by sex,7420.0
2012,Mid-year population, age 0 years, by sex,7027.0
2013,Mid-year population, age 0 years, by sex,6744.0
2014,Mid-year population, age 0 years, by sex,6663.0
2015,Mid-year population, age 0 years, by sex,6733.0
2016,Mid-year population, age 0 years, by sex,6749.5
1950,Mid-year population, age 0 years, by sex,47000.0
1951,Mid-year population, age 0 years, by sex,45600.0
1952,Mid-year population, age 0 years, by sex,44500.0
1953,Mid-year population, age 0 years, by sex,44000.0
1954,Mid-year population, age 0 years, by sex,43200.0
1955,Mid-year population, age 0 years, by sex,43000.0
1956,Mid-year population, age 0 years, by sex,42600.0
1957,Mid-year population, age 0 years, by sex,42000.0
1958,Mid-year population, age 0 years, by sex,40200.0
1959,Mid-year population, age 0 years, by sex,39400.0
1960,Mid-year population, age 0 years, by sex,39300.0
1961,Mid-year population, age 0 years, by sex,39100.0
1962,Mid-year population, age 0 years, by sex,39200.0
1963,Mid-year population, age 0 years, by sex,39200.0
1964,Mid-year population, age 0 years, by sex,38900.0
1965,Mid-year population, age 0 years, by sex,37700.0
1966,Mid-year population, age 0 years, by sex,37100.0
1967,Mid-year population, age 0 years, by sex,36900.0
1968,Mid-year population, age 0 years, by sex,35900.0
1969,Mid-year population, age 0 years, by sex,33300.0
1970,Mid-year population, age 0 years, by sex,30700.0
1971,Mid-year population, age 0 years, by sex,29800.0
1972,Mid-year population, age 0 years, by sex,28500.0
1973,Mid-year population, age 0 years, by sex,27800.0
1974,Mid-year population, age 0 years, by sex,29000.0
1975,Mid-year population, age 0 years, by sex,31200.0
1976,Mid-year population, age 0 years, by sex,32000.0
1977,Mid-year population, age 0 years, by sex,32000.0
1978,Mid-year population, age 0 years, by sex,31300.0
1979,Mid-year population, age 0 years, by sex,31000.0
1980,Mid-year population, age 0 years, by sex,30800.0
1981,Mid-year population, age 0 years, by sex,30700.0
1982,Mid-year population, age 0 years, by sex,31500.0
1983,Mid-year population, age 0 years, by sex,32300.0
1984,Mid-year population, age 0 years, by sex,32200.0
1985,Mid-year population, age 0 years, by sex,31200.0
1986,Mid-year population, age 0 years, by sex,30100.0
1987,Mid-year population, age 0 years, by sex,29300.0
1988,Mid-year population, age 0 years, by sex,29900.0
1989,Mid-year population, age 0 years, by sex,30800.0
1990,Mid-year population, age 0 years, by sex,31400.0
1991,Mid-year population, age 0 years, by sex,32000.0
1992,Mid-year population, age 0 years, by sex,32300.0
1993,Mid-year population, age 0 years, by sex,32100.0
1994,Mid-year population, age 0 years, by sex,31800.0
1995,Mid-year population, age 0 years, by sex,31300.0
1996,Mid-year population, age 0 years, by sex,30100.0
1997,Mid-year population, age 0 years, by sex,29300.0
1998,Mid-year population, age 0 years, by sex,28442.0
1999,Mid-year population, age 0 years, by sex,27969.0
2000,Mid-year population, age 0 years, by sex,27769.0
2001,Mid-year population, age 0 years, by sex,27390.0
2002,Mid-year population, age 0 years, by sex,27134.0
2003,Mid-year population, age 0 years, by sex,27308.0
2004,Mid-year population, age 0 years, by sex,27865.0
2005,Mid-year population, age 0 years, by sex,28161.0
2006,Mid-year population, age 0 years, by sex,28585.0
2007,Mid-year population, age 0 years, by sex,28765.0
2008,Mid-year population, age 0 years, by sex,28903.0
2009,Mid-year population, age 0 years, by sex,29407.0
2010,Mid-year population, age 0 years, by sex,29711.0
2011,Mid-year population, age 0 years, by sex,29619.0
2012,Mid-year population, age 0 years, by sex,29359.0
2013,Mid-year population, age 0 years, by sex,28833.5
2014,Mid-year population, age 0 years, by sex,28301.5
2016,Mid-year population, age 0 years, by sex,26601.5
2017,Mid-year population, age 0 years, by sex,25465.5
2018,Mid-year population, age 0 years, by sex,23886.0
2019,Mid-year population, age 0 years, by sex,22748.0
1950,Mid-year population, age 0 years, by sex,408400.0
1951,Mid-year population, age 0 years, by sex,398400.0
1952,Mid-year population, age 0 years, by sex,389200.0
1953,Mid-year population, age 0 years, by sex,385300.0
1954,Mid-year population, age 0 years, by sex,383600.0
1955,Mid-year population, age 0 years, by sex,385500.0
1956,Mid-year population, age 0 years, by sex,386200.0
1957,Mid-year population, age 0 years, by sex,389600.0
1958,Mid-year population, age 0 years, by sex,391600.0
1959,Mid-year population, age 0 years, by sex,394300.0
1960,Mid-year population, age 0 years, by sex,395600.0
1961,Mid-year population, age 0 years, by sex,398300.0
1962,Mid-year population, age 0 years, by sex,403400.0
1963,Mid-year population, age 0 years, by sex,411300.0
1964,Mid-year population, age 0 years, by sex,421100.0
1965,Mid-year population, age 0 years, by sex,419700.0
1966,Mid-year population, age 0 years, by sex,416000.0
1967,Mid-year population, age 0 years, by sex,409800.0
1968,Mid-year population, age 0 years, by sex,403200.0
1969,Mid-year population, age 0 years, by sex,403800.0
1970,Mid-year population, age 0 years, by sex,407100.0
1971,Mid-year population, age 0 years, by sex,416700.0
1972,Mid-year population, age 0 years, by sex,423300.0
1973,Mid-year population, age 0 years, by sex,417300.0
1974,Mid-year population, age 0 years, by sex,399200.0
1975,Mid-year population, age 0 years, by sex,370300.0
1976,Mid-year population, age 0 years, by sex,353700.0
1977,Mid-year population, age 0 years, by sex,353600.0
1978,Mid-year population, age 0 years, by sex,357700.0
1979,Mid-year population, age 0 years, by sex,361000.0
1980,Mid-year population, age 0 years, by sex,376500.0
1981,Mid-year population, age 0 years, by sex,388200.0
1982,Mid-year population, age 0 years, by sex,379200.0
1983,Mid-year population, age 0 years, by sex,366100.0
1984,Mid-year population, age 0 years, by sex,357600.0
1985,Mid-year population, age 0 years, by sex,362200.0
1986,Mid-year population, age 0 years, by sex,366700.0
1987,Mid-year population, age 0 years, by sex,366700.0
1988,Mid-year population, age 0 years, by sex,365100.0
1989,Mid-year population, age 0 years, by sex,364900.0
1990,Mid-year population, age 0 years, by sex,366200.0
1991,Mid-year population, age 0 years, by sex,364700.0
1992,Mid-year population, age 0 years, by sex,360600.0
1993,Mid-year population, age 0 years, by sex,349200.0
1994,Mid-year population, age 0 years, by sex,341700.0
